INFO  | 01/03/2023 12:35:15 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000002 = 0.08332148939371109
INFO  | 01/03/2023 12:35:17 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000003 = 0.08332192897796631
INFO  | 01/03/2023 12:35:20 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000004 = 0.0833219364285469
INFO  | 01/03/2023 12:35:23 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000005 = 0.08332131803035736
INFO  | 01/03/2023 12:35:26 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000006 = 0.08332043141126633
INFO  | 01/03/2023 12:35:28 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000007 = 0.08331979066133499
INFO  | 01/03/2023 12:35:31 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000008 = 0.08331967145204544
INFO  | 01/03/2023 12:35:34 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000009 = 0.0833197757601738
INFO  | 01/03/2023 12:35:37 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000010 = 0.08331970870494843
INFO  | 01/03/2023 12:35:40 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000011 = 0.0833192840218544
INFO  | 01/03/2023 12:35:43 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000012 = 0.08331866562366486
INFO  | 01/03/2023 12:35:46 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000013 = 0.08331817388534546
INFO  | 01/03/2023 12:35:49 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000014 = 0.08331795781850815
INFO  | 01/03/2023 12:35:52 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000015 = 0.08331788331270218
INFO  | 01/03/2023 12:35:57 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0006 = 0.08331772685050964
INFO  | 01/03/2023 12:35:57 PM | File ctrnn_runner.py      | Line 158   | Saving Snapshot @ epoch 0006
INFO  | 01/03/2023 12:35:57 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0006 = 0.08332009240984917
INFO  | 01/03/2023 12:36:00 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000000 = 0.08331772685050964
INFO  | 01/03/2023 12:36:03 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000001 = 0.0833173617720604
INFO  | 01/03/2023 12:36:05 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000002 = 0.0833168774843216
INFO  | 01/03/2023 12:36:08 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000003 = 0.08331648260354996
INFO  | 01/03/2023 12:36:11 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000004 = 0.08331623673439026
INFO  | 01/03/2023 12:36:13 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000005 = 0.08331605792045593
INFO  | 01/03/2023 12:36:16 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000006 = 0.08331583440303802
INFO  | 01/03/2023 12:36:19 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000007 = 0.08331548422574997
INFO  | 01/03/2023 12:36:22 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000008 = 0.08331507444381714
